"","Binomial","Common_name","Num_pops","Start_year","End_year","Avg_p_chg"
"347","Aythya_affinis","Lesser scaup","7","1980","2014","97"
"348","Aythya_americana","Redhead","6","1961","2014","383"
"349","Aythya_collaris","Ring-necked duck","13","1965","2014","310"
"350","Aythya_valisineria","Canvasback","4","1970","2014","280"
"351","Bucephala_albeola","Bufflehead","7","1962","2014","296"
"352","Bucephala_islandica","Barrow's goldeneye","4","2004","2014","5"
"353","Tringa_semipalmata","Willet","4","1970","2014","82"
"354","Chlidonias_niger","Black tern","9","1979","2015","624"
"355","Cistothorus_palustris","Marsh wren","7","1967","2014","120"
"356","Dendrocygna_autumnalis","Black-bellied whistling-duck","1","1970","2000","78"
"357","Dendrocygna_bicolor","Fulvous whistling-duck","1","1997","2010","3076"
"358","Fulica_americana","American coot","7","1968","2014","176"
"359","Gallinago_delicata","Wilson's snipe","13","1970","2014","67"
"360","Gavia_immer","Common loon / Great northern diver","19","1970","2014","150"
"361","Grus_americana","Whooping crane","3","1951","2008","885"
"362","Antigone_canadensis","Sandhill crane","17","1965","2014","2324"
"363","Haliaeetus_leucocephalus","Bald eagle","18","1960","2014","1779"
"364","Larus_philadelphia","Bonaparte's gull","5","1969","2014","38"
"365","Limosa_fedoa","Marbled godwit","3","1971","2014","62"
"366","Oxyura_jamaicensis","Ruddy duck","9","1961","2015","4582"
"367","Steganopus_tricolor","Wilson's phalarope","4","1992","2014","62"
"368","Porzana_carolina","Sora","11","1967","2014","186"
"369","Sterna_hirundo","Common tern","38","1970","2014","5180"
"370","Trichechus_manatus","West Indian manatee","6","1968","2007","367"
"371","Terrapene_carolina","Common box turtle","2","1985","2006","64"
"372","Phoenicoparrus_jamesi","Puna flamingo","2","1997","1998","53"
"373","Podiceps_taczanowskii","Junin grebe","1","1985","1995","39"
"374","Crocodylus_acutus","American crocodile","7","1980","2008","506"
"375","Melanosuchus_niger","Black caiman","6","1971","2013","155"
"376","Podocnemis_expansa","South American river turtle","1","1981","2008","139"
"377","Blicca_bjoerkna","White bream","7","1995","2013","375"
"378","Abramis_brama","Freshwater bream","6","1978","2014","2320"
"379","Alburnus_alburnus","Bleak","10","1997","2014","367"
"380","Anguilla_anguilla","European eel","12","1974","2018","64818"
"381","Leuciscus_aspius","Asp","1","2000","2014","145"
"382","Carassius_gibelio","Prussian carp","3","2000","2013","72"
"383","Cobitis_taenia","Spined loach","1","1995","2000","206"
"384","Coregonus_albula","Vendace","1","1989","1990","3"
"385","Coregonus_lavaretus","European whitefish","6","1964","2002","4444"
"386","Cyprinus_carpio","Common carp","15","1980","2018","96"
"387","Esox_lucius","Northern pike","15","1975","2018","1816"
"388","Gasterosteus_aculeatus","Three-spined stickleback","45","1979","2018","2609"
"389","Gobio_gobio","Gudgeon","2","2000","2013","89"
"390","Gymnocephalus_cernua","Ruffe","7","1992","2014","200"
"391","Huso_huso","Beluga","3","1992","2006","84"
"392","Squalius_cephalus","Chub","10","1995","2013","164"
"393","Leuciscus_leuciscus","Common dace","4","1995","2014","52"
"394","Lota_lota","Burbot","7","1987","2013","903"
"395","Barbatula_barbatula","Stone loach","1","2000","2008","150"
"396","Perca_fluviatilis","European perch","27","1977","2015","477"
"397","Rutilus_rutilus","Roach","21","1969","2014","280"
"398","Salmo_trutta","Brown trout / Sea trout","72","1975","2018","407661"
"399","Scardinius_erythrophthalmus","Rudd","4","1995","2009","172"
"400","Silurus_glanis","Wels catfish","4","1991","2009","283"
"401","Sander_lucioperca","Pikeperch / Zander","11","1980","2014","32689"
"402","Tinca_tinca","Tench","3","1984","2014","189"
"403","Bufo_bufo","Common toad","12","1980","2001","2692"
"404","Epidalea_calamita","Natterjack toad","3","1984","2001","58"
"405","Hyla_arborea","No common name","6","1980","2001","268"
"406","Rana_dalmatina","Agile frog","3","1984","1993","200"
"407","Rana_temporaria","European common frog","6","1975","2004","84"
